,Marque,Modele,Prix Comme neuf,Prix tres bon etat,Prix marque/raye,Prix ecran casse,URL landing page produit,Capacite
156,Huawei,P30 Pro,170,170,123,4,https://goodbuytech-fr.twigcard.com/devices/Huawei-P30 Pro-512Go-7505,512Go
157,Huawei,P40 5G,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P40 5G-128Go-7521,128Go
158,Huawei,P40 Lite,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P40 Lite-128Go-7529,128Go
159,Huawei,P40 Pro 5G,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Huawei-P40 Pro 5G-256Go-7537,256Go
160,OnePlus,7,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7-128Go-7545,128Go
161,OnePlus,7,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7-256Go-7549,256Go
162,OnePlus,7 Pro,76,76,52,2,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7 Pro-128Go-7561,128Go
163,OnePlus,7 Pro,82,82,58,2,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7 Pro-256Go-7565,256Go
164,OnePlus,7T,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7T-128Go-7577,128Go
165,OnePlus,7T,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7T-256Go-7581,256Go
166,OnePlus,7T Pro,76,76,52,2,https://goodbuytech-fr.twigcard.com/devices/OnePlus-7T Pro-256Go-7593,256Go
167,OnePlus,8 5G,99,99,64,2,https://goodbuytech-fr.twigcard.com/devices/OnePlus-8 5G-128Go-7601,128Go
168,OnePlus,8 5G,99,99,64,2,https://goodbuytech-fr.twigcard.com/devices/OnePlus-8 5G-256Go-7605,256Go
169,OnePlus,8T,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-8T-128Go-7617,128Go
170,OnePlus,8T,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-8T-256Go-7621,256Go
171,OnePlus,9 5G,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/OnePlus-9 5G-128Go-7633,128Go
172,Oppo,Nord,41,41,23,2,https://goodbuytech-fr.twigcard.com/devices/Oppo-Nord-128Go-7641,128Go
173,Oppo,Nord,41,41,23,2,https://goodbuytech-fr.twigcard.com/devices/Oppo-Nord-256Go-7645,256Go
